Statement,Accessibilty,Accuracy,Customizability,Legal,Maintainability,Performance,Safety,Security,Trust,Usability,Other
"By using Postmates services, including communicating with Postmates and your courier, you consent to the receipt, recording, and monitoring by Postmates of text messages between you and Couriers for quality assurance, customer service, security and fraud prevention",0,0,0,0,0,1,1,1,0,1,0
"communications data: CML may also use this data for customer support services (including to resolve disputes between users), for safety and security purposes (including fraud prevention), to improve our products and services and/or for analytics.",0,0,0,0,0,1,1,1,0,1,0
"We also collect information while you access, browse, view or otherwise use the Site. We use that information to enhance user experience, personalize your browsing experience as well as monitor the Site for preventing fraud and inappropriate content or behaviour.",0,0,1,0,0,1,0,1,0,1,0
"We use all of the foregoing communications to address your questions, issues and concerns and provide other related customer support services, for safety and security purposes, to improve our Services, and for analytics. We also maintain your ratings and reviews regarding Restaurants on the Platform, which we may post for the benefit of all of our users.",0,0,0,0,0,1,1,1,0,1,0
" calls might be recorded for quality control and training purposes. This includes the usage of the recordings for the handling of complaints, legal claims and for fraud detection.",0,0,0,0,0,1,1,1,0,0,0
"at the request of governmental authorities or other third parties conducting an investigation where we determine in our sole discretion the disclosure is necessary to (a) protect the property and rights of Upwork or a third party, (b) protect the safety of the public or any person, or (c) prevent or stop activity we may consider to be, or pose a risk of being, illegal, fraudulent, unethical or legally actionable activity.",0,0,0,1,0,0,1,1,0,0,0
"Cookies and Other Electronic Technologies: help us better understand user behavior, personalize preferences, perform research and analytics, and improve the Platform",0,0,1,0,0,1,0,0,0,0,1
"cookies: This information may be used to manage and customize our web site’s content, layout, and services in order to improve our site, enhance customer service, and provide tailored messages.",0,0,1,0,0,1,0,0,0,1,0
"For example, if you are a Buyer we may share certain limited information about you (such as the fact it is your first purchase on Fiverr) with the Seller to ensure the services you receive from the Seller will fit your needs; such sharing of information is limited in scope, will not include personal identifying information (PII) which is not already available to the Seller via the marketplace, and is only intended to improve the services provided by the Seller and your user experience",0,1,0,0,0,1,0,0,0,0,1
"For legal, safety, or security reasons, such as to comply with legal requirements; protect our safety, our property or rights of those who interact with us, or others; and detect, prevent, and respond to security incidents or other malicious, deceptive, fraudulent, or illegal activity.",0,0,0,1,0,0,1,1,0,0,0
"helps us do things such as understand how you use our services and other services; personalize your experience; measure, manage, and display advertising on the Services or on other services; understand your usage of the Services and other services in order to serve customized ads; and remember that you are logged into the Services",0,0,1,0,0,1,0,0,0,1,0
"if you use the Services for prescription delivery (where available), the third-party pharmacy processing your prescription will provide us with your name, address, email address, birth date, phone number, the total amount being charged to you for the prescription drug product(s), and sales tax information for the prescription drug product(s) (if applicable). The third-party pharmacy will also share whether or not the prescription drug product you have ordered requires temperature control",0,1,0,1,0,0,1,0,0,0,0
"Promote security, verify identity of our customers, prevent and investigate fraud and unauthorized activities, defend against claims and other liabilities, and manage other risks",0,0,0,1,0,0,1,1,0,0,0
"Third party libraries like Google analytics: The information is used to evaluate the use of the website, to compile reports on the activity on the website, and to provide other services related to the use of the website and internet usage for the purposes of market research and to customize the design of these websites in line with the needs of users. ",0,0,1,0,0,1,0,0,0,0,1
"This information may be used to help you select your delivery address, to provide more accurate deliveries of your orders, to provide recommendations to you, and to enhance your user experience and improve the services",0,1,0,0,0,1,0,0,0,1,0
"To provide and improve the Service, complete your transactions, address your inquiries, process your registration, verify the information you provide is valid, and for compliance and internal business purposes.",0,0,0,0,0,1,1,0,0,0,1
"We collect a unique numerical identifier, assigned to you by a first-party cookie, automatically when you use our Services in order to identify you, provide the Services, keep you logged in to the Services, prevent fraud, and provide you with targeted information and offers.",0,0,0,0,0,0,1,1,0,1,0
"We collect your IP address and Device ID automatically when you use our Services in order to identify you, gauge online activity on our website and application, monitor your use and the effectiveness of online services, applications, and tools, and serve targeted advertisements based on your online activities.",0,0,1,0,0,1,0,1,0,0,0
"We enable users to call or text each other through the Service. We may also use this information for customer support services (including to resolve disputes between users), for safety and security purposes, and to improve the Service.",0,0,0,0,0,1,1,1,0,0,0
"We may disclose account and other Personal Information when we believe disclosure is necessary to comply with the law or to protect the rights, property, or safety of Handy, our users, or others.",0,0,0,1,0,0,1,1,0,0,0
"We may send email or text messages to the email address or phone number you provide to us to verify your account and for informational and operational purposes, such as account management, customer service, or system maintenance.",0,0,0,0,1,0,0,1,0,1,0
"We may share your information when we believe that the disclosure is reasonably necessary to (a) comply with applicable laws, regulations, legal process, or requests from law enforcement or regulatory authorities, (b) prevent, detect, or otherwise handle fraud, security, or technical issues, and (c) protect the safety, rights, or property of any person, the public, or Instacart.",0,0,0,1,0,0,1,1,0,0,0
"We track these text messages (including the date and time of the text message, your phone number, and the content of the text message) for fraud prevention, to ensure appropriate charging of Fees, to enforce these Terms, and for quality and training purposes.",0,1,0,0,0,1,0,1,0,0,0
"We use cookies and similar technologies (such as web beacons, pixels, tags, and scripts) to improve and personalize your experience, provide our services, analyze website performance and for marketing purposes",0,0,1,0,0,1,0,0,0,0,1
"We use data for security, fraud prevention, and legal purposes.",0,0,0,1,0,0,1,1,0,0,0
"We use location information to customize content on our Services (e.g., show you the Restaurants that will deliver to your location and show you relevant Perks), facilitate order and delivery Services, detect and prevent fraud, and measure traffic and analytics on the Services.",0,0,1,0,0,1,0,1,0,0,0
"We use this transaction information to fulfill your order, update your rewards, detect and prevent fraud, personalize your experience, perform analytics/identify usage trends, and inform our advertising and marketing",0,0,1,0,0,0,0,1,0,0,1
"your communications on the Airbnb Platform: fraud prevention, risk assessment, regulatory compliance, investigation, product development, research, analytics",0,0,0,1,0,1,0,1,0,0,0
" For example, we may obtain information when you login through a third-party social network or authentication service, such as Facebook or Google. These services will authenticate your identity and provide you the option to share certain personal information with us, which could include your name, email address, address book and contacts, or other information",0,0,0,0,0,0,0,1,0,1,0
" If you have entered into a service contract or agreed to use Upwork Payroll with another user, we may provide him/her with your name, company address, billing address, or tax ID or VAT number in order to complete the transaction or to facilitate the resolution of a claim or dispute.",0,1,0,1,0,0,0,0,0,0,0
" Location data helps improve our services, including pickups, navigation and customer support. ",0,0,0,0,0,1,0,0,0,1,0
" Matching available vehicles to users requesting ground transportation. Users can be matched based on availability, proximity and other factors.",0,1,0,0,0,1,0,0,0,0,0
" Perform internal operations necessary to provide our services, including to troubleshoot software bugs and operational problems; to conduct data analysis, testing, and research; and to monitor and analyze usage and activity trends.",0,0,0,0,1,1,0,0,0,0,0
" We use these technologies to remember user preferences, maximize the performance of our website, mobile app, and services, provide you with offers that may be of interest to you, measure the effectiveness of our email campaigns and to personalize online content.",0,0,1,0,0,1,0,0,0,0,0
 We use your Personal Information to provide the Service and administer your inquiries,0,0,0,0,0,0,0,0,0,1,1
Allow Riders and Drivers to connect regarding their ride and to choose to share their location with others,0,1,0,0,0,0,1,0,0,0,0
"ask for and collect supplemental information from third parties, such as information about your credit from a credit bureau, or information to verify your identity or trustworthiness, or for other fraud or safety protection purposes. ",0,0,0,0,0,0,1,1,0,0,0
"CML uses cookies and similar technologies for Authenticating users Remembering user preferences and settings, Determining the popularity of content, Delivering and measuring the effectiveness of advertising campaigns, Analyzing App and Site traffic and tr",0,0,0,0,0,1,0,0,0,1,0
"Compliance with the law or to protect the rights, property, or safety of Handy, our users, or others, including to maintain network and information security, for fraud prevention, to report suspected criminal acts, and to reduce risks to public health and safety",0,0,0,0,0,0,1,1,0,0,0
"comply with our legal obligations, protect the health and well-being of our Guests, Hosts, Hosts’ employees and members of the public",0,0,0,1,0,0,1,0,0,0,0
Cookies: To simplify your access to and use of the Platform and make it more seamless,0,0,0,0,0,1,0,0,0,1,0
"detect and prevent fraud, spam, abuse, security and safety incidents, and other harmful activity",0,0,0,0,0,0,1,1,0,0,0
"Detect, investigate, and prevent activities that may violate our policies or be fraudulent or illegal, and to comply with legal requirements regarding the provision of products and services.",0,0,0,0,0,0,1,1,0,0,0
"diagnose, repair and track service and quality issues; facilitate an order, download, return, or exchange",0,0,0,0,1,1,0,0,0,0,0
enable you to access and use the Platform,1,0,0,0,0,0,0,0,0,0,1
"help create and maintain a trusted and safer environment on the Platform, through detection and prevention of actual and potential fraud and other harmful activity",0,0,0,0,0,0,1,1,0,0,0
"If you send text messages to a Dasher, using the telephone number for that Dasher available on the Services, we may use a third-party service provider to track and analyze these text messages. We track these text messages for fraud prevention, to ensure appropriate charging of fees, to enforce our Terms and Conditions, and for quality and training purposes",0,0,0,0,0,1,0,1,0,0,0
"information about your credit from a credit bureau, or information to verify your identity or trustworthiness, or for other fraud or safety protection purposes.",0,0,0,0,0,0,1,1,0,0,0
"Information Received from Other Parties: We may use this information to help us maintain the accuracy of the information we collect, improve and personalize your experience with the Services",0,1,0,0,0,1,0,0,0,0,0
